country,ISO 3 country code,ISO 2 country code,country full name,currency,capital city,region,continent,demonym,latitude,longitude,agricultural land,forest area,land area,rural land area,urban land area,central government debt,expense,MillionGDP,GDP,inflation,self-employed workers,tax revenue,unemployment,vulnerable employment,access to electricity,alternative and nuclear energy,electricity production from coal sources,electricity production from hydroelectric sources,electricity production from natural gas sources,electricity production from nuclear sources,electricity production from oil sources,"electricity production from renewable sources, excluding hydroelectric",net energy imports,fossil fuel energy consumption,renewable energy consumption,carbon dioxide emissions (CO2),methane emissions,nitrous oxide emissions,"other greenhouse gas emissions, HFC, PFC and SF6",urban population living in areas where elevation is below 5 meters ,health expenditure,health expenditure per capita,hospital beds,incidence of HIV,suicidemortalityrate,armed forces personnel,"internally displaced persons, by conflict and violence",military expenditure,birth rate,death rate,fertility rate,individuals using the Internet,life expectancy at birth,net migration,female population,male population,population,proportion of seats held by women in national parliaments,rural population,urban population,press freedom,democracy score,democracy type,median age,political leader,title of the political leader
Switzerland,CHE,CH,Switzerland,Swiss franc,Bern,Western Europe,Europe,Swiss,47,8,14993.783,12725.5,39509.63,34763.58127,4016.815073,17.80286392,16.65979572,884940.4022,8.85E+11,2.13540088,16.35083395,9.10068229,4.05,9.729887481,100,39.88653588,0,57.88159826,1.001558316,34.93199389,0.068081759,4.316383497,50.08899721,50.16822548,27.7,34916.1,4975.239558,2396.71253,1473.070801,0,11.80107975,10897.4502,4.63,,14.5,20000,,0.764653392,9.4,8.5,1.39,95.56937168,83,39998,4452743,4397109,8849852,38.5,2283085,6566767,7.43,9.03,Full democracy,38.4,Simonetta Sommaruga,President
Poland,POL,PL,Republic of Poland,Polish zloty,Warsaw,Eastern Europe,Europe,Polish,52,20,144994.6,94950,306100,293194.0002,14773.80472,60.45439847,36.25831681,811229.1007,8.11E+11,11.5289128,19.859158,17.26854902,2.905,15.94932932,100,1.143024039,80.90616462,1.114755295,3.886431262,0,1.288783688,12.68764338,28.54636235,90.29137544,15.2,279223.8,29540.38185,22864.40427,12110.33203,1.058313717,6.68,1225,6.54,0.03,11.3,189000,,2.388511888,8.3,12.2,1.261,86.94113568,77,-910475,18909456,17776393,36685849,29.34782609,14594364,22091485,2.71,6.67,Flawed democracy,36.1,Mateusz Morawiecki,Prime Minister
Argentina,ARG,AR,Argentine Republic,Argentine peso,Buenos Aires,South America,America,Argentine,-34,-64,1179577.597,284636.667,2736690,2735389.702,11432.73056,,21.96401534,640591.4107,6.41E+11,,27.60538713,11.15206569,6.178,24.09789739,100,5.501503643,2.029567389,26.24157509,49.48226026,4.166726991,15.42319446,1.898494036,13.02936074,87.72240748,9.2,154535.9,131035.6894,51061.49889,3701.727539,0.896204618,9.70880699,1044.772705,4.99,0.09,8.4,103000,,0.411211299,13.794,8.589,1.876,88.37535691,76,3718,23555389,23099192,46654581,43.19066148,3516356,43138225,2.76,7.02,Flawed democracy,27.9,Alberto Fernández,President
Belgium,BEL,BE,Kingdom of Belgium,Euro,Brussels,Western Europe,Europe,Belgian,50.83333333,4,13656.7,6893,30280,22780.52409,7730.87924,94.03943214,40.24629849,632216.5771,6.32E+11,4.049010776,15.05720578,23.09019066,5.508,11.40411886,100,15.1103274,6.108011733,0.457238166,32.80611951,37.53235176,0.300511877,20.34278484,80.09179197,75.87078435,11.7,85364.1,7974.086619,4564.196311,2697.187012,4.232880791,11.04290771,5680.231445,5.58,0.04,18.3,24000,,1.179737081,9.8,10,1.53,94.00783071,82,23999,5978050,5844542,11822592,42.66666667,214107,11608485,6.48,7.78,Flawed democracy,37.3,Sophie Wilmès,Prime Minister
Sweden,SWE,SE,Kingdom of Sweden,Swedish krona,Stockholm,Northern Europe,Europe,Swedish,62,15,30029.1,279800,407283.54,411134.3059,4064.22826,36.25306055,31.66065232,593267.701,5.93E+11,8.548624897,10.50457565,27.11317378,7.587,7.138768898,100,43.24115038,0.666950738,46.50869815,0.262457466,34.73640007,0.155621839,16.75404956,24.65208338,25.11709613,57.9,33576.1,4792.09356,6381.072374,-4904.415039,3.39593162,10.67,5980,2.14,,14.7,15000,,1.307463119,10,9,1.52,95.00970335,83,39998,5224802,5311829,10536632,46.41833811,1186635,9349997,9.41,9.39,Full democracy,35.7,Stefan Löfven,Prime Minister
Ireland,IRL,IE,Ireland,Euro,Dublin,Northern Europe,Europe,Irish,53,-8,43370,7860.2,68890,67698.15848,1261.38995,46.71424172,19.79140836,545629.4504,5.46E+11,6.299424874,13.95593871,17.27151797,4.34,10.04201795,100,4.800148994,17.34581302,2.871988327,44.01224243,0,1.448450123,25.09341969,85.66713692,85.34281977,12.7,33742.2,15252.82463,9572.898489,883.4353027,1.635317157,6.07060957,6349.477539,2.97,,9.6,9000,,0.225109122,11.2,6.9,1.7,95.16956667,83,9999,2653866,2608515,5262382,23.125,1869935,3392447,5.21,9.15,Full democracy,34.3,Leo Varadkar,Taoiseach
Austria,AUT,AT,Republic of Austria,Euro,Vienna,Western Europe,Europe,Austrian,47.33333333,13.33333333,25974.594,39027.4,82520,80030.88661,2973.71201,75.05117642,47.88705562,516034.1441,5.16E+11,7.81413417,12.73055612,26.23780448,5.243,7.986665492,100,12.21287915,8.226608163,59.99708563,12.60139566,0,1.394038502,16.49369364,63.54485349,65.66182199,36,59142.4,6863.078458,3759.74089,-8604.113281,0,12.1,6505,7.27,,14.6,23000,,0.772607157,9.1,10.3,1.41,93.61409139,81,19999,4634336,4498048,9132383,40.98360656,3695875,5436508,5.1,8.29,Full democracy,39.2,Sebastian Kurz,Federal Chancellor
Thailand,THA,TH,Kingdom of Thailand,Thai baht,Bangkok,South-Eastern Asia,Asia,Thai,15,100,235000,198370,510890,491891.911,19506.66092,60.34985768,21.50242941,514944.9938,5.15E+11,1.228026235,52.03692993,14.38061462,0.913,49.72975549,99.9,1.108075739,19.45432043,2.665954095,71.43676868,0,0.570432043,5.872524752,41.56815174,79.83902265,19,265478.9,75892.78006,20931.77794,28219.8418,14.65060601,5.16038752,364.3696899,2.1,0.13,8.8,455000,41000,1.157640846,8.806,7.487,1.317,87.97728101,80,18999,36975565,34825715,71801279,18.83767535,33310049,38491230,1.77,4.63,Hybrid regime,36.2,Prayut Chan-o-cha,Prime Minister
United Arab Emirates,ARE,AE,United Arab Emirates,U.A.E. dirham,Abu Dhabi,Western Asia,Asia,Emirati,24,54,3915.615,3173,71020,77233.34084,2263.105046,1.845685137,3.842361386,504173.4513,5.04E+11,4.827888596,4.467258918,0.573565333,2.706,1.157808048,100,0.09690708,0,0,98.52550916,0,1.242089726,0.232401112,-183.8439704,86.12834902,1,188088.7,56944.70537,1829.639574,-16708.68762,25.50331343,5.30695152,2351.80542,1.38,,6.4,63000,,5.643651352,9.888,1.865,1.443,100,79,0,2933285,6583587,9516871,50,1163057,8353814,1.79,2.76,Authoritarian,29.5,Sheikh Khalifa bin Zayed Al Nahyan,President
Norway,NOR,NO,Kingdom of Norway,Norwegian krone,Oslo,Northern Europe,Europe,Norwegian,62,10,9850,121878,364270,306188.4558,2007.78451,30.75201562,36.57010253,503367.986,5.03E+11,3.483880553,5.435175408,25.50276589,4.369,4.269032925,100,31.31793142,0.104917942,95.8255166,1.805144453,0,0.020149803,1.884354025,-581.3465735,56.95162865,61.4,36177.4,4342.761259,3522.994529,-3686.011963,2.894106313,10.08,9163,3.53,,11.8,25000,,1.72188687,10.4,7.8,1.55,99.0000036,83,10604,2680087,2728232,5408320,44.9704142,901946,4506374,10,9.87,Full democracy,35.3,Erna Solberg,Prime Minister
Singapore,SGP,SG,Republic of Singapore,Singapore dollar,Singapore,South-Eastern Asia,Asia,Singaporean,1.36666666,103.8,6.6,153.9,718,210.1625761,454.0838427,150.1419128,15.13577767,501427.5001,5.01E+11,4.821467295,13.62042338,12.03319296,3.472,9.742323036,100,0.192789212,1.196072597,0,95.02925717,0,0.698204899,1.820886641,97.68200129,90.57887358,1.1,43705,4347.650851,10311.47979,2728.241486,0.656566658,5.56525183,3969.890869,2.49,,11.2,59000,,2.770566268,7.9,6.3,1.04,95.95386476,83,26998,2825143,3092505,5917648,29.12621359,0,5917648,1.52,6.38,Flawed democracy,38.8,Lee Hsien Loong,Prime Minister
Israel,ISR,IL,State of Israel,Israeli new shekel,Jerusalem,Western Asia,Asia,Israeli,31.5,34.75,6435,1400,21640,19195.22991,2743.733632,88.60319026,38.22970076,488526.5459,4.89E+11,1.510200477,11.42853361,24.61539596,4.812,8.347974486,100,5.245322035,45.40373058,0.037368044,51.6130539,0,0.65238377,1.852832186,64.96736333,97.38212413,6.2,58471.8,9801.47314,2690.533696,8969.481381,1.604454654,7.9,4339,2.98,,5.3,178000,200000,4.976052226,19.7,5.4,3,90.29689758,82,16856,4699259,4672141,9371400,28.33333333,686549,8684851,2.54,7.79,Flawed democracy,25,Yair Lapid,Prime Minister
Venezuela,VEN,VE,República Bolivariana de Venezuela,Venezuelan bolivar fuerte,Caracas,South America,America,Venezuelan,8,-66,215000,461733.6,882050,899029.2577,6248.974133,,,482359.3188,4.82E+11,254.9485348,40.14946791,,5.528,38.5978243,100,8.247059051,0,63.6950421,19.4191683,0,16.88578961,0,-178.7748702,88.37797322,33.7,72509,97594.23488,13097.21934,-5114.259277,3.246820444,4.03775549,160.0984039,0.87,,2.1,343000,,0.649886789,15.573,8.1,2.188,61.6,71,321106,14583567,14254932,28838499,22.15568862,3334307,25504192,1.59,3.16,Authoritarian,24.3,Nicolás Maduro,President
Nigeria,NGA,NG,Federal Republic of Nigeria,Nigerian naira,Abuja,Western Africa,Africa,Nigerian,10,8,686440,214636.5,910770,882024.6559,25189.86866,,,472624.5969,4.73E+11,18.84718778,85.8535116,,3.827,84.36917323,60.5,0.274463996,0,18.19512506,81.80487494,0,0,0,-93.02721929,18.87676676,80.3,111978.1,151059.7744,41196.30278,38585.78662,2.717753128,4.07625723,83.84061432,0.5,,3.5,223000,3646000,0.635544551,36.611,12.431,5.143,55.36371347,54,-59996,108093075,110448136,218541212,3.611111111,101575770,116965442,2.14,4.44,Hybrid regime,13.2,Muhammadu Buhari,President
Philippines,PHL,PH,Republic of the Philippines,Philippine peso,Manila,South-Eastern Asia,Asia,Filipino,13,122,126830,72234.8,298170,282119.5821,12151.46533,43.42633894,18.60688933,437146.3727,4.37E+11,5.978025155,36.05872657,14.61900582,2.233,33.27930606,94.8,2.90636149,44.51482169,10.51411792,22.90658027,0,7.142077099,14.8993484,45.76800308,62.43489629,28,133471.3,65722.00682,14455.78231,4267.337891,5.935853991,5.1,178,0.99,0.21,2.2,157000,113000,0.99629547,21.618,5.568,2.725,52.67573808,72,-69996,57743514,59593853,117337368,27.33118971,60678673,56658695,1.78,6.71,Flawed democracy,21,Rodrigo Duterte,President
